,System,Formula,Algorithm,satisfied,ifp,ttot
0,dining_2.aut,invariantly_inevitably_eat.mcf,NAIVE,False,9,0.10734506
1,dining_2.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,7,0.017820665
2,dining_2.aut,invariantly_plato_starves.mcf,NAIVE,False,24,0.0033486360000000003
3,dining_2.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,14,0.003972066000000001
4,dining_2.aut,invariantly_possibly_eat.mcf,NAIVE,False,63,0.018684798000000002
5,dining_2.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,21,0.030288356000000002
6,dining_2.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,18,0.003614635
7,dining_2.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,18,0.013858519000000001
8,dining_3.aut,invariantly_inevitably_eat.mcf,NAIVE,False,15,0.004502713
9,dining_3.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,9,0.012992434
10,dining_3.aut,invariantly_plato_starves.mcf,NAIVE,False,40,0.008103624
11,dining_3.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,19,0.004259184
12,dining_3.aut,invariantly_possibly_eat.mcf,NAIVE,False,108,0.037190349000000004
13,dining_3.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,28,0.040996566000000005
14,dining_3.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,24,0.004145906
15,dining_3.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,24,0.011961451000000001
16,dining_4.aut,invariantly_inevitably_eat.mcf,NAIVE,False,28,0.011407777000000001
17,dining_4.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,13,0.017076504000000003
18,dining_4.aut,invariantly_plato_starves.mcf,NAIVE,False,50,0.011881063
19,dining_4.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,23,0.006821893000000001
20,dining_4.aut,invariantly_possibly_eat.mcf,NAIVE,False,180,0.069039238
21,dining_4.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,37,0.054891520000000006
22,dining_4.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,30,0.011974492000000002
23,dining_4.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,30,0.018043631
24,dining_5.aut,invariantly_inevitably_eat.mcf,NAIVE,False,36,0.041352233
25,dining_5.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,15,0.026621985
26,dining_5.aut,invariantly_plato_starves.mcf,NAIVE,False,65,0.051427152000000004
27,dining_5.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,29,0.02358617
28,dining_5.aut,invariantly_possibly_eat.mcf,NAIVE,False,252,0.21384612300000003
29,dining_5.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,44,0.091522802
30,dining_5.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,36,0.030614354000000003
31,dining_5.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,36,0.04927066
32,dining_6.aut,invariantly_inevitably_eat.mcf,NAIVE,False,55,0.22228467600000001
33,dining_6.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,19,0.09040160000000001
34,dining_6.aut,invariantly_plato_starves.mcf,NAIVE,False,75,0.223543867
35,dining_6.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,33,0.089772537
36,dining_6.aut,invariantly_possibly_eat.mcf,NAIVE,False,357,1.2049937320000002
37,dining_6.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,53,0.258763652
38,dining_6.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,42,0.160463768
39,dining_6.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,42,0.157006056
40,dining_7.aut,invariantly_inevitably_eat.mcf,NAIVE,False,65,1.4235112760000002
41,dining_7.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,21,0.46246836100000005
42,dining_7.aut,invariantly_plato_starves.mcf,NAIVE,False,90,1.4124012540000002
43,dining_7.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,39,0.6014409890000001
44,dining_7.aut,invariantly_possibly_eat.mcf,NAIVE,False,456,9.682023889
45,dining_7.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,60,1.360756329
46,dining_7.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,48,1.023192045
47,dining_7.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,48,1.044833061
48,dining_8.aut,invariantly_inevitably_eat.mcf,NAIVE,False,90,8.866202739
49,dining_8.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,25,2.502152422
50,dining_8.aut,invariantly_plato_starves.mcf,NAIVE,False,100,7.227388923
51,dining_8.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,43,3.1154708660000003
52,dining_8.aut,invariantly_possibly_eat.mcf,NAIVE,False,594,56.610640450000005
53,dining_8.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,69,6.887325034000001
54,dining_8.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,54,5.169507317
55,dining_8.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,54,5.289687215000001
56,dining_9.aut,invariantly_inevitably_eat.mcf,NAIVE,False,102,40.286901229
57,dining_9.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,27,11.092672445
58,dining_9.aut,invariantly_plato_starves.mcf,NAIVE,False,115,35.057856294000004
59,dining_9.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,49,14.234818506000002
60,dining_9.aut,invariantly_possibly_eat.mcf,NAIVE,False,720,304.111651241
61,dining_9.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,76,33.261210209000005
62,dining_9.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,60,25.559787777
63,dining_9.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,60,24.479412688
64,dining_10.aut,invariantly_inevitably_eat.mcf,NAIVE,False,133,222.64792564400003
65,dining_10.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,31,57.006435351
66,dining_10.aut,invariantly_plato_starves.mcf,NAIVE,False,125,157.39914882800002
67,dining_10.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,53,66.081032326
68,dining_10.aut,invariantly_possibly_eat.mcf,NAIVE,False,891,1181.077020158
69,dining_10.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,85,130.45498688700002
70,dining_10.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,66,97.620525754
71,dining_10.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,66,97.43680751900001
