,System,Formula,Algorithm,satisfied,ifp,ttot
0,dining_2.aut,invariantly_inevitably_eat.mcf,NAIVE,False,9,0.127421916
1,dining_2.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,7,0.0019050990000000002
2,dining_2.aut,invariantly_plato_starves.mcf,NAIVE,False,24,0.004733743
3,dining_2.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,14,0.002436189
4,dining_2.aut,invariantly_possibly_eat.mcf,NAIVE,False,63,0.015573444
5,dining_2.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,21,0.0050400720000000005
6,dining_2.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,18,0.004646023
7,dining_2.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,11,0.002414662
8,dining_3.aut,invariantly_inevitably_eat.mcf,NAIVE,False,15,0.0038896630000000002
9,dining_3.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,9,0.001879929
10,dining_3.aut,invariantly_plato_starves.mcf,NAIVE,False,40,0.005089855
11,dining_3.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,19,0.003226998
12,dining_3.aut,invariantly_possibly_eat.mcf,NAIVE,False,108,0.028642466000000002
13,dining_3.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,28,0.007379072
14,dining_3.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,24,0.006314481
15,dining_3.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,14,0.003355535
16,dining_4.aut,invariantly_inevitably_eat.mcf,NAIVE,False,28,0.011558166
17,dining_4.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,13,0.006358481
18,dining_4.aut,invariantly_plato_starves.mcf,NAIVE,False,50,0.013814001000000001
19,dining_4.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,23,0.008091975000000001
20,dining_4.aut,invariantly_possibly_eat.mcf,NAIVE,False,180,0.08647144500000001
21,dining_4.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,37,0.013735542000000002
22,dining_4.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,30,0.010663006000000001
23,dining_4.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,17,0.006550106
24,dining_5.aut,invariantly_inevitably_eat.mcf,NAIVE,False,36,0.054780443000000005
25,dining_5.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,15,0.017639468000000002
26,dining_5.aut,invariantly_plato_starves.mcf,NAIVE,False,65,0.051110064000000004
27,dining_5.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,29,0.015456449
28,dining_5.aut,invariantly_possibly_eat.mcf,NAIVE,False,252,0.20731362
29,dining_5.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,44,0.042340282
30,dining_5.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,36,0.024755427
31,dining_5.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,20,0.020639555
32,dining_6.aut,invariantly_inevitably_eat.mcf,NAIVE,False,55,0.15912657800000002
33,dining_6.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,19,0.059117108
34,dining_6.aut,invariantly_plato_starves.mcf,NAIVE,False,75,0.168876079
35,dining_6.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,33,0.080316073
36,dining_6.aut,invariantly_possibly_eat.mcf,NAIVE,False,357,1.19192217
37,dining_6.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,53,0.216804021
38,dining_6.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,42,0.182091841
39,dining_6.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,23,0.147241107
40,dining_7.aut,invariantly_inevitably_eat.mcf,NAIVE,False,65,1.771923205
41,dining_7.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,21,0.473147183
42,dining_7.aut,invariantly_plato_starves.mcf,NAIVE,False,90,1.4529509150000002
43,dining_7.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,39,0.6138514770000001
44,dining_7.aut,invariantly_possibly_eat.mcf,NAIVE,False,456,10.791617999000001
45,dining_7.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,60,1.3940797740000002
46,dining_7.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,48,1.092306445
47,dining_7.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,26,0.550030275
48,dining_8.aut,invariantly_inevitably_eat.mcf,NAIVE,False,90,9.47023734
49,dining_8.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,25,2.784411935
50,dining_8.aut,invariantly_plato_starves.mcf,NAIVE,False,100,7.527207195000001
51,dining_8.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,43,3.2567718720000003
52,dining_8.aut,invariantly_possibly_eat.mcf,NAIVE,False,594,62.397749881
53,dining_8.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,69,7.184662051
54,dining_8.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,54,5.509443822000001
55,dining_8.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,29,2.868610437
56,dining_9.aut,invariantly_inevitably_eat.mcf,NAIVE,False,102,44.807992461000005
57,dining_9.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,27,11.825250069
58,dining_9.aut,invariantly_plato_starves.mcf,NAIVE,False,115,40.750617292
59,dining_9.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,49,21.543927496000002
60,dining_9.aut,invariantly_possibly_eat.mcf,NAIVE,False,720,350.63735892600005
61,dining_9.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,76,23.115930602000002
62,dining_9.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,60,18.042678191
63,dining_9.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,32,9.385345826
64,dining_10.aut,invariantly_inevitably_eat.mcf,NAIVE,False,133,172.590175249
65,dining_10.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,31,36.435631033
66,dining_10.aut,invariantly_plato_starves.mcf,NAIVE,False,125,107.404276009
67,dining_10.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,53,44.675495239
68,dining_10.aut,invariantly_possibly_eat.mcf,NAIVE,False,891,1047.07260373
69,dining_10.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,85,98.88969572200001
70,dining_10.aut,plato_infinitely_often_can_eat.mcf,NAIVE,True,66,75.11166393100001
71,dining_10.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,35,38.631094813000004
