,System,Formula,Algorithm,satisfied,ifp,ttot
0,robots_50.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,38,4.671875
1,robots_50.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,38,4.84375
2,robots_50.aut,formula_exists_winning_play.mcf,NAIVE,True,43,4.90625
3,robots_50.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,43,4.96875
4,robots_50.aut,formula_exists_winning_strategy.mcf,NAIVE,False,18,5.015625
5,robots_50.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,18,5.078125
6,robots_100.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,206,32.609375
7,robots_100.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,206,59.984375
8,robots_100.aut,formula_exists_winning_play.mcf,NAIVE,True,152,66.890625
9,robots_100.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,152,73.578125
10,robots_100.aut,formula_exists_winning_strategy.mcf,NAIVE,True,102,81.078125
11,robots_100.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,102,88.765625
12,robots_150.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,306,191.40625
13,robots_150.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,306,292.125
14,robots_150.aut,formula_exists_winning_play.mcf,NAIVE,True,227,317.84375
15,robots_150.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,227,342.9375
16,robots_150.aut,formula_exists_winning_strategy.mcf,NAIVE,True,152,370.578125
17,robots_150.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,152,421.65625
18,robots_200.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,138,460.90625
19,robots_200.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,138,499.921875
20,robots_200.aut,formula_exists_winning_play.mcf,NAIVE,True,168,516.890625
21,robots_200.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,168,530.890625
22,robots_200.aut,formula_exists_winning_strategy.mcf,NAIVE,False,68,539.046875
23,robots_200.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,68,546.984375
24,robots_250.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,506,673.4251454
25,robots_250.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,506,1633.21875
26,robots_250.aut,formula_exists_winning_play.mcf,NAIVE,True,377,1767.4375
27,robots_250.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,377,1899.59375
28,robots_250.aut,formula_exists_winning_strategy.mcf,NAIVE,True,252,2038.578125
29,robots_250.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,252,2174.578125
30,robots_300.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,606,3077.171875
31,robots_300.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,606,3975.15625
32,robots_300.aut,formula_exists_winning_play.mcf,NAIVE,True,452,3776.3782704
33,robots_300.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,452,4432.875
34,robots_300.aut,formula_exists_winning_strategy.mcf,NAIVE,True,302,4248.8313954
35,robots_300.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,302,4921.875
36,robots_350.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,4,4922.265625
37,robots_350.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,4,4922.640625
38,robots_350.aut,formula_exists_winning_play.mcf,NAIVE,False,1,4922.703125
39,robots_350.aut,formula_exists_winning_play.mcf,EMERSON_LEI,False,1,4922.765625
40,robots_350.aut,formula_exists_winning_strategy.mcf,NAIVE,False,1,4922.875
41,robots_350.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,1,4922.984375
42,robots_400.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,806,6709.4720204
43,robots_400.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,806,9008.8626454
44,robots_400.aut,formula_exists_winning_play.mcf,NAIVE,True,602,9576.0657704
45,robots_400.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,602,10129.815770399999
46,robots_400.aut,formula_exists_winning_strategy.mcf,NAIVE,True,402,10734.581395399999
47,robots_400.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,402,11331.503270399999
48,robots_450.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,True,906,14920.328125
49,robots_450.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,True,906,18176.5625
50,robots_450.aut,formula_exists_winning_play.mcf,NAIVE,True,677,18994.09375
51,robots_450.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,677,19364.7532704
52,robots_450.aut,formula_exists_winning_strategy.mcf,NAIVE,True,452,20226.4407704
53,robots_450.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,True,452,21077.2532704
54,robots_500.aut,formula_exists_infinite_winning_strategy.mcf,NAIVE,False,338,21539.6595204
55,robots_500.aut,formula_exists_infinite_winning_strategy.mcf,EMERSON_LEI,False,338,22000.5345204
56,robots_500.aut,formula_exists_winning_play.mcf,NAIVE,True,418,22196.5501454
57,robots_500.aut,formula_exists_winning_play.mcf,EMERSON_LEI,True,418,22389.5970204
58,robots_500.aut,formula_exists_winning_strategy.mcf,NAIVE,False,168,22944.75
59,robots_500.aut,formula_exists_winning_strategy.mcf,EMERSON_LEI,False,168,22640.5657704
