,System,Formula,Algorithm,satisfied,ifp,ttot
0,demanding_children_2.aut,attention_to_child_one.mcf,NAIVE,True,13,0.0
1,demanding_children_2.aut,attention_to_child_one.mcf,EMERSON_LEI,True,10,0.0
2,demanding_children_2.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
3,demanding_children_2.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
4,demanding_children_2.aut,eventual_questions.mcf,NAIVE,True,5,0.0
5,demanding_children_2.aut,eventual_questions.mcf,EMERSON_LEI,True,5,0.0
6,demanding_children_2.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0
7,demanding_children_2.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.0
8,demanding_children_3.aut,attention_to_child_one.mcf,NAIVE,True,13,0.0
9,demanding_children_3.aut,attention_to_child_one.mcf,EMERSON_LEI,True,10,0.0
10,demanding_children_3.aut,attention_to_other_children.mcf,NAIVE,True,4,0.0
11,demanding_children_3.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.0
12,demanding_children_3.aut,eventual_questions.mcf,NAIVE,True,6,0.015625
13,demanding_children_3.aut,eventual_questions.mcf,EMERSON_LEI,True,6,0.015625
14,demanding_children_3.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.015625
15,demanding_children_3.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.015625
16,demanding_children_4.aut,attention_to_child_one.mcf,NAIVE,True,16,0.015625
17,demanding_children_4.aut,attention_to_child_one.mcf,EMERSON_LEI,True,12,0.03125
18,demanding_children_4.aut,attention_to_other_children.mcf,NAIVE,True,4,0.03125
19,demanding_children_4.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.03125
20,demanding_children_4.aut,eventual_questions.mcf,NAIVE,True,7,0.03125
21,demanding_children_4.aut,eventual_questions.mcf,EMERSON_LEI,True,7,0.03125
22,demanding_children_4.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.03125
23,demanding_children_4.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.03125
24,demanding_children_5.aut,attention_to_child_one.mcf,NAIVE,True,19,0.046875
25,demanding_children_5.aut,attention_to_child_one.mcf,EMERSON_LEI,True,14,0.046875
26,demanding_children_5.aut,attention_to_other_children.mcf,NAIVE,True,4,0.046875
27,demanding_children_5.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.046875
28,demanding_children_5.aut,eventual_questions.mcf,NAIVE,True,8,0.046875
29,demanding_children_5.aut,eventual_questions.mcf,EMERSON_LEI,True,8,0.046875
30,demanding_children_5.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.046875
31,demanding_children_5.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.046875
32,demanding_children_6.aut,attention_to_child_one.mcf,NAIVE,True,22,0.046875
33,demanding_children_6.aut,attention_to_child_one.mcf,EMERSON_LEI,True,16,0.046875
34,demanding_children_6.aut,attention_to_other_children.mcf,NAIVE,True,4,0.046875
35,demanding_children_6.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.046875
36,demanding_children_6.aut,eventual_questions.mcf,NAIVE,True,9,0.046875
37,demanding_children_6.aut,eventual_questions.mcf,EMERSON_LEI,True,9,0.0625
38,demanding_children_6.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.0625
39,demanding_children_6.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.0625
40,demanding_children_7.aut,attention_to_child_one.mcf,NAIVE,True,25,0.109375
41,demanding_children_7.aut,attention_to_child_one.mcf,EMERSON_LEI,True,18,0.15625
42,demanding_children_7.aut,attention_to_other_children.mcf,NAIVE,True,4,0.171875
43,demanding_children_7.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.171875
44,demanding_children_7.aut,eventual_questions.mcf,NAIVE,True,10,0.1875
45,demanding_children_7.aut,eventual_questions.mcf,EMERSON_LEI,True,10,0.21875
46,demanding_children_7.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.234375
47,demanding_children_7.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.25
48,demanding_children_8.aut,attention_to_child_one.mcf,NAIVE,True,28,0.40625
49,demanding_children_8.aut,attention_to_child_one.mcf,EMERSON_LEI,True,20,0.5
50,demanding_children_8.aut,attention_to_other_children.mcf,NAIVE,True,4,0.515625
51,demanding_children_8.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,0.53125
52,demanding_children_8.aut,eventual_questions.mcf,NAIVE,True,11,0.578125
53,demanding_children_8.aut,eventual_questions.mcf,EMERSON_LEI,True,11,0.609375
54,demanding_children_8.aut,no_skipping_wisdom.mcf,NAIVE,True,3,0.609375
55,demanding_children_8.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,0.609375
56,demanding_children_9.aut,attention_to_child_one.mcf,NAIVE,True,31,0.828125
57,demanding_children_9.aut,attention_to_child_one.mcf,EMERSON_LEI,True,22,1.109375
58,demanding_children_9.aut,attention_to_other_children.mcf,NAIVE,True,4,1.1875
59,demanding_children_9.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,1.25
60,demanding_children_9.aut,eventual_questions.mcf,NAIVE,True,12,1.375
61,demanding_children_9.aut,eventual_questions.mcf,EMERSON_LEI,True,12,1.5
62,demanding_children_9.aut,no_skipping_wisdom.mcf,NAIVE,True,3,1.515625
63,demanding_children_9.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,1.53125
64,demanding_children_10.aut,attention_to_child_one.mcf,NAIVE,True,34,2.46875
65,demanding_children_10.aut,attention_to_child_one.mcf,EMERSON_LEI,True,24,3.109375
66,demanding_children_10.aut,attention_to_other_children.mcf,NAIVE,True,4,3.234375
67,demanding_children_10.aut,attention_to_other_children.mcf,EMERSON_LEI,True,4,3.34375
68,demanding_children_10.aut,eventual_questions.mcf,NAIVE,True,13,3.84375
69,demanding_children_10.aut,eventual_questions.mcf,EMERSON_LEI,True,13,4.28125
70,demanding_children_10.aut,no_skipping_wisdom.mcf,NAIVE,True,3,4.390625
71,demanding_children_10.aut,no_skipping_wisdom.mcf,EMERSON_LEI,True,2,4.484375
