,System,Formula,Algorithm,satisfied,ifp,ttot
60,dining_9.aut,invariantly_possibly_eat.mcf,NAIVE,False,6,162.00816661500002
61,dining_9.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,720,461.18532065000005
62,dining_9.aut,plato_infinitely_often_can_eat.mcf,NAIVE,False,6,462.880289253
63,dining_9.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,60,487.61955865100003
64,dining_10.aut,invariantly_inevitably_eat.mcf,NAIVE,False,6,497.958586065
65,dining_10.aut,invariantly_inevitably_eat.mcf,EMERSON_LEI,False,133,727.3768424890001
66,dining_10.aut,invariantly_plato_starves.mcf,NAIVE,True,6,734.913155476
67,dining_10.aut,invariantly_plato_starves.mcf,EMERSON_LEI,False,52,800.8513730200001
68,dining_10.aut,invariantly_possibly_eat.mcf,NAIVE,False,6,811.353570845
69,dining_10.aut,invariantly_possibly_eat.mcf,EMERSON_LEI,False,891,2351.597320061
70,dining_10.aut,plato_infinitely_often_can_eat.mcf,NAIVE,False,6,2358.747717949
71,dining_10.aut,plato_infinitely_often_can_eat.mcf,EMERSON_LEI,True,66,2467.467140178
